Description,Specification,Ratings,Price,Original_price,Discount,Reviews
"MSI GF63 Intel Core i5 11th Gen 11260H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/60 Hz) GF63 Thin 11UCX-1496IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', 'GF63 Thin 11UCX-1496IN'], ['Part Number', '9S7-16R612-1496'], ['Model Name', 'GF63 Thin 11UCX-1496IN'], ['Series', 'GF63'], ['Color', 'Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['MS Office Provided', 'No']]","['4.1', '4.1', '3.8', '4.4']","['₹50,990']","['₹67,990']",['25% off'],"['57 Ratings & 2 Reviews', '(57)', '(81)', '(1,295)']"
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/50 TGP) M6500QF-HN522WS Gaming Laptop  (15.6 Inch, Silver, 1.80 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'M6500QF-HN522WS'], ['Part Number', '90NB1242-M000V0'], ['Model Name', 'M6500QF-HN522WS'], ['Series', 'Vivobook Pro 15 For Creator,'], ['Color', 'Silver'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Power Supply', '120W AC Adapter'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes'], ['TGP', '50 TGP']]","['4.4', '4.4', '4.4', '4.6']","['₹50,990']","['₹76,990']",['33% off'],"['889 Ratings & 96 Reviews', '(889)', '(28)', '(841)']"
"DELL AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.69 kg, With MS Office)","[['Sales Package', '???Laptop, Battery, AC Adapter, User Guide, Manuals'], ['Model Number', 'Inspiron 3525'], ['Part Number', 'IN352547R7J001ORB1'], ['Model Name', 'Inspiron 3525'], ['Color', 'Carbon Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Travel & Business'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes']]","['4.2', '4.2', '3.9', '3.9']","['₹32,990']","['₹46,372']",['28% off'],"['108 Ratings & 15 Reviews', '(108)', '(595)', '(2,500)']"
"HP Victus AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15-fb0136AX Gaming Laptop  (15.6 Inch, Performance Blue, 2.37 Kg)","[['Sales Package', 'Laptop, battery, power adapter, user guide'], ['Model Number', '15-fb0136AX'], ['Part Number', '87B82PA#ACJ'], ['Model Name', '15-fb0136AX'], ['Series', 'Victus'], ['Color', 'Performance Blue'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Battery Cell', '4 Cell'], ['MS Office Provided', 'No']]","['4.3', '4.3', '4.5']","['₹64,990']","['₹78,858']",['17% off'],"['725 Ratings & 66 Reviews', '(725)', '(5,694)']"
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/50 TGP) M6500QF-HN741WS Gaming Laptop  (15.6 Inch, Quiet Blue, 1.80 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'M6500QF-HN741WS'], ['Part Number', '90NB1241-M00090'], ['Model Name', 'M6500QF-HN741WS'], ['Series', 'Vivobook Pro 15 For Creator,'], ['Color', 'Quiet Blue'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Power Supply', '120W AC Adapter'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes'], ['TGP', '50 TGP']]","['4.4', '4.4', '4', '3.8']","['₹61,990']","['₹90,990']",['31% off'],"['126 Ratings & 8 Reviews', '(126)', '(27)', '(81)']"
"DELL Intel Core i5 13th Gen - (8 GB/1 TB SSD/Windows 11 Home) IN5430NH6KJM01ORS1 Laptop  (14 inch, Platinum Silver, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'IN5430NH6KJM01ORS1'], ['Part Number', 'IN5430NH6KJM01ORS1'], ['Model Name', 'Inspiron 5430'], ['Color', 'Platinum Silver'], ['Type', 'Laptop'], ['Suitable For', 'Travel & Business'], ['Battery Backup', 'UPTO 8 HRS'], ['MS Office Provided', 'Yes']]",['3.9'],"['₹67,890']","['₹90,110']",['24% off'],"['(4,472)']"
"WINGS Nuvobook V1 Aluminium Alloy Metal Body Intel Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) WL-Nuvobook V1-SLV Thin and Light Laptop  (15.6 Inch, Silver, 1.60 Kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'WL-Nuvobook V1-SLV'], ['Part Number', 'WL-Nuvobook V1-SLV'], ['Model Name', 'WL-Nuvobook V1-SLV'], ['Series', 'Nuvobook V1 Aluminium Alloy Metal Body Intel'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 10 Hours'], ['MS Office Provided', 'No']]","['4.1', '4.1', '4.1', '4.2']","['₹27,990']","['₹59,999']",['53% off'],"['1,082 Ratings & 226 Reviews', '(1,082)', '(241)', '(1,791)']"
"MSI Modern 14 Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-030IN Thin and Light Laptop  (14 Inch, Classic Black, 1.4 Kg)","[['Sales Package', 'Laptop, Power adapter'], ['Model Number', 'Modern 14 C11M-030IN'], ['Part Number', '9S7-14J312-030'], ['Model Name', 'Modern 14 C11M-030IN'], ['Series', 'Modern 14'], ['Color', 'Classic Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking, Entertainment'], ['Power Supply', '65W adapter'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'No']]","['4.2', '4.2', '3.9', '4.2']","['₹40,990']","['₹59,990']",['31% off'],"['974 Ratings & 123 Reviews', '(974)', '(2,226)', '(1,791)']"
"ASUS Vivobook 16X AMD Ryzen 5 Hexa Core R5-5600H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB511WS Laptop  (16 inch, Quiet Blue, 1.8 kg, With MS Office)","[['Sales Package', 'Laptop, Adaptor & Manual'], ['Model Number', 'M1603QA-MB511WS'], ['Part Number', '90NB0Y81-M002D0'], ['Model Name', 'M1603QA-MB511WS'], ['Series', 'Vivobook 16X'], ['Color', 'Quiet Blue'], ['Type', 'Laptop'], ['Suitable For', 'Processing & Multitasking, Everyday Use, Entertainment, Performance'], ['Battery Backup', 'Upto 6 Hrs.'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'Yes']]","['4.5', '4.5', '3.7']","['₹53,890']","['₹74,990']",['28% off'],"['50 Ratings & 4 Reviews', '(50)', '(71)']"
"ASUS Vivobook Go 15 (2023) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ522WS Thin and Light Laptop  (15.6 Inch, Mixed Black, 1.63 Kg, With MS Office)",[],"['4.2', '4.2', '3.8', '4.2']","['₹38,990']","['₹66,990']",['41% off'],"['856 Ratings & 62 Reviews', '(856)', '(299)', '(1,791)']"
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15ACH6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 Kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15ACH6'], ['Part Number', '82K20289IN'], ['Model Name', '15ACH6'], ['Series', 'IdeaPad Gaming 3'], ['Color', 'Shadow Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['MS Office Provided', 'No']]","['3.7', '3.7', '4.1', '3.8']","['₹47,990']","['₹77,990']",['38% off'],"['7 Ratings & 1 Reviews', '(7)', '(237)', '(81)']"
